iter	Passed	Remaining
0	0	990
1	1	903
2	2	864
3	3	849
4	4	831
5	4	801
6	5	786
7	6	777
8	6	768
9	7	762
10	8	757
11	9	751
12	9	751
13	10	746
14	11	746
15	12	744
16	12	744
17	13	746
18	14	744
19	15	744
20	15	743
21	16	742
22	17	742
23	18	739
24	18	738
25	19	738
26	20	741
27	21	745
28	22	746
29	23	748
30	24	752
31	24	753
32	25	758
33	26	757
34	27	758
35	28	761
36	29	759
37	29	757
38	30	756
39	31	754
40	32	753
41	32	751
42	33	750
43	34	749
44	35	746
45	35	745
46	36	743
47	37	740
48	38	738
49	38	737
50	39	735
51	40	733
52	40	731
53	41	729
54	42	726
55	43	726
56	43	726
57	44	725
58	45	725
59	46	726
60	47	726
61	48	727
62	49	729
63	49	728
64	50	727
65	51	728
66	52	728
67	52	722
68	53	721
69	54	720
70	55	720
71	55	719
72	56	717
73	57	715
74	60	742
75	61	749
76	62	753
77	63	754
78	64	752
79	65	752
80	66	751
81	67	753
82	68	760
83	70	763
84	70	759
85	71	757
86	71	753
87	72	752
88	73	750
89	73	747
90	74	746
91	75	744
92	76	742
93	76	740
94	77	738
95	78	736
96	78	734
97	79	732
98	80	730
99	80	728
100	81	726
101	82	722
102	82	720
103	83	718
104	84	717
105	84	715
106	85	714
107	86	712
108	87	711
109	87	709
110	88	707
111	89	705
112	89	703
113	90	701
114	91	700
115	91	698
116	92	696
117	93	695
118	93	692
119	94	691
120	94	690
121	95	688
122	96	685
123	96	685
124	97	684
125	98	683
126	99	682
127	99	679
128	100	678
129	101	678
130	102	677
131	102	676
132	103	675
133	104	674
134	105	674
135	106	673
136	106	672
137	107	671
138	108	670
139	108	669
140	109	668
141	110	667
142	111	666
143	111	665
144	112	664
145	113	663
146	114	662
147	114	661
148	115	660
149	116	659
150	117	659
151	117	657
152	118	656
153	119	655
154	120	654
155	120	653
156	121	651
157	122	650
158	122	649
159	123	649
160	124	648
161	125	647
162	125	646
163	126	645
164	127	644
165	127	642
166	128	641
167	129	639
168	129	638
169	130	638
170	131	636
171	132	635
172	132	634
173	133	633
174	134	632
175	134	630
176	135	629
177	136	628
178	136	627
179	137	626
180	137	623
181	138	622
182	139	621
183	139	619
184	140	618
185	141	617
186	141	616
187	142	615
188	143	614
189	143	613
190	144	612
191	145	611
192	146	610
193	146	610
194	147	609
195	148	608
196	149	607
197	149	606
198	150	605
199	151	605
200	152	604
201	152	603
202	153	603
203	154	602
204	155	601
205	155	601
206	156	600
207	157	599
208	158	599
209	159	598
210	159	597
211	160	596
212	161	596
213	162	595
214	162	594
215	163	594
216	164	593
217	165	593
218	166	592
219	166	591
220	167	590
221	168	589
222	169	589
223	169	588
224	170	587
225	171	587
226	172	586
227	173	586
228	173	585
229	174	584
230	175	583
231	176	583
232	176	582
233	177	581
234	178	580
235	179	579
236	179	579
237	180	578
238	181	577
239	182	576
240	182	575
241	183	575
242	184	574
243	185	573
244	185	572
245	187	574
246	188	573
247	188	572
248	189	572
249	190	570
250	190	569
251	191	568
252	192	567
253	192	566
254	193	565
255	194	564
256	194	563
257	195	561
258	196	561
259	196	559
260	197	558
261	197	557
262	198	556
263	199	555
264	199	554
265	200	553
266	201	552
267	202	552
268	202	551
269	203	550
270	204	548
271	204	547
272	205	546
273	206	545
274	206	544
275	207	543
276	207	542
277	208	541
278	209	540
279	210	540
280	210	539
281	211	538
282	211	537
283	212	536
284	213	535
285	213	534
286	214	533
287	215	532
288	215	531
289	216	530
290	217	529
291	217	528
292	218	527
293	219	526
294	219	525
295	220	524
296	221	523
297	221	522
298	222	521
299	223	520
300	223	519
301	224	518
302	225	517
303	225	516
304	226	515
305	227	514
306	227	513
307	228	513
308	228	512
309	229	511
310	230	510
311	230	509
312	231	508
313	232	507
314	232	506
315	233	505
316	234	504
317	234	503
318	235	502
319	236	501
320	236	500
321	237	499
322	238	498
323	238	498
324	239	497
325	240	496
326	240	495
327	241	494
328	242	493
329	242	492
330	243	491
331	243	490
332	244	490
333	245	489
334	246	488
335	246	487
336	247	486
337	247	485
338	248	484
339	249	483
340	249	483
341	250	482
342	251	481
343	251	480
344	252	479
345	253	478
346	253	477
347	254	476
348	255	475
349	255	474
350	256	473
351	256	473
352	257	472
353	258	471
354	258	470
355	259	469
356	260	468
357	260	467
358	261	466
359	262	466
360	262	465
361	263	464
362	264	463
363	264	462
364	265	461
365	266	461
366	266	460
367	267	459
368	268	458
369	268	457
370	269	456
371	270	456
372	270	455
373	271	454
374	272	453
375	272	452
376	273	451
377	274	451
378	274	450
379	275	449
380	275	448
381	276	447
382	277	446
383	277	445
384	278	445
385	279	444
386	279	443
387	280	442
388	281	441
389	281	440
390	282	439
391	283	439
392	283	438
393	284	437
394	285	436
395	285	436
396	286	435
397	287	434
398	287	433
399	288	432
400	289	432
401	289	431
402	290	430
403	291	429
404	291	428
405	292	428
406	293	427
407	293	426
408	294	425
409	295	424
410	295	423
411	296	422
412	297	422
413	297	421
