iter	Passed	Remaining
0	179	179793
1	180	90284
2	181	60414
3	182	45475
4	183	36546
5	184	30551
6	185	26283
7	186	23066
8	186	20555
9	187	18545
10	188	16907
11	188	15548
12	189	14394
13	190	13412
14	191	12553
15	191	11800
16	194	11228
17	194	10637
18	195	10111
19	196	9638
20	198	9232
21	199	8866
22	200	8503
23	200	8169
24	201	7860
25	202	7584
26	203	7320
27	204	7083
28	205	6870
29	206	6685
30	207	6496
31	208	6312
32	209	6138
33	210	5974
34	211	5819
35	211	5674
36	212	5537
37	213	5405
38	214	5281
39	215	5163
40	215	5052
41	217	4956
42	218	4867
43	219	4770
44	220	4678
45	221	4587
46	222	4503
47	222	4421
48	223	4343
49	225	4275
50	225	4204
51	226	4134
52	227	4067
53	228	4001
54	229	3937
55	229	3874
56	230	3816
57	232	3769
58	232	3715
59	233	3660
60	234	3609
61	235	3558
62	235	3508
63	236	3459
64	237	3412
65	237	3368
66	239	3328
67	240	3294
68	241	3252
69	241	3212
70	242	3175
71	243	3139
72	244	3103
73	246	3080
74	247	3047
75	247	3014
76	248	2982
77	249	2950
78	250	2919
79	251	2890
80	252	2860
81	253	2834
82	253	2802
83	254	2775
84	255	2750
85	256	2725
86	257	2699
87	258	2675
88	259	2652
89	260	2629
90	260	2606
91	261	2585
92	262	2562
93	263	2542
94	264	2520
95	265	2499
96	266	2479
97	267	2458
98	268	2440
99	269	2423
100	270	2404
101	270	2384
102	271	2366
103	272	2348
104	273	2329
105	274	2311
106	274	2294
107	275	2279
108	278	2272
109	278	2257
110	279	2241
111	281	2230
112	282	2216
113	283	2202
114	284	2188
115	285	2173
116	285	2156
117	286	2142
118	287	2126
119	288	2112
120	288	2098
121	289	2082
122	290	2070
123	291	2057
124	292	2044
125	292	2031
126	293	2018
127	294	2006
128	295	1993
129	295	1980
130	296	1967
131	297	1954
132	298	1944
133	299	1932
134	299	1922
135	300	1909
136	301	1897
137	301	1886
138	302	1874
139	303	1862
140	303	1851
141	304	1838
142	305	1828
143	306	1821
144	308	1817
145	309	1807
146	309	1797
147	310	1786
148	310	1776
149	311	1765
150	312	1756
151	313	1747
152	314	1738
153	314	1729
154	315	1720
155	316	1711
156	316	1701
157	317	1692
158	318	1683
159	319	1675
160	320	1667
161	320	1660
162	321	1651
163	322	1642
164	323	1634
165	323	1626
166	324	1618
167	325	1610
168	326	1603
169	326	1595
170	327	1589
171	328	1583
172	329	1577
173	330	1569
174	331	1562
175	332	1556
176	333	1549
177	333	1542
178	334	1536
179	335	1529
180	336	1522
181	337	1515
182	337	1507
183	338	1500
184	338	1493
185	339	1486
186	340	1479
187	340	1472
188	341	1465
189	342	1459
190	343	1453
191	343	1447
192	344	1441
193	345	1435
194	346	1428
195	346	1422
196	347	1416
197	348	1409
198	348	1403
199	349	1399
200	351	1395
201	351	1389
202	352	1383
203	353	1377
204	353	1371
205	354	1365
206	354	1359
207	355	1354
208	356	1348
209	357	1344
210	358	1340
211	359	1335
212	359	1329
213	360	1324
214	361	1318
215	361	1313
216	362	1308
217	363	1303
218	363	1298
219	364	1293
220	365	1289
221	366	1284
222	367	1279
223	368	1274
224	368	1269
225	369	1264
226	369	1259
227	370	1254
228	371	1249
229	371	1245
230	372	1241
231	373	1237
232	374	1232
233	375	1227
234	375	1223
235	376	1218
236	377	1214
237	377	1210
238	378	1205
239	379	1201
240	380	1198
241	381	1194
242	381	1189
243	382	1185
244	383	1181
245	387	1186
246	388	1183
247	389	1180
248	390	1176
249	390	1172
250	391	1168
251	392	1164
252	392	1160
253	393	1156
254	394	1152
255	395	1149
256	398	1151
257	398	1147
258	399	1142
259	400	1138
260	400	1134
261	401	1131
262	402	1129
263	403	1125
264	404	1121
265	405	1117
266	405	1113
267	406	1110
268	407	1106
269	407	1102
270	408	1099
271	409	1096
272	410	1092
273	410	1088
274	411	1085
275	412	1082
276	413	1078
277	414	1075
278	414	1072
279	415	1068
280	416	1065
281	417	1062
282	418	1059
283	418	1056
284	419	1053
285	420	1049
286	421	1046
287	421	1043
288	422	1039
289	423	1036
290	424	1033
291	425	1031
292	427	1030
293	427	1027
294	428	1023
295	429	1020
296	429	1017
297	430	1014
298	431	1011
299	432	1008
300	432	1005
301	433	1002
302	434	999
303	435	996
304	435	993
305	436	989
306	437	986
307	437	983
308	438	980
309	439	977
310	440	974
311	440	971
312	441	969
313	442	966
314	442	963
315	443	960
316	444	957
317	445	954
318	445	951
319	446	948
320	447	946
321	448	944
322	449	941
323	449	938
324	450	936
325	451	933
326	452	930
327	452	927
328	453	924
329	454	923
330	455	921
331	457	919
332	457	916
333	458	913
334	459	911
335	459	908
336	460	905
337	461	903
338	462	901
339	463	898
340	463	896
341	464	893
342	465	891
343	465	888
344	466	885
345	467	883
346	468	880
347	468	878
348	469	875
349	470	873
350	470	870
351	471	868
352	472	865
353	473	863
354	473	861
355	474	858
356	475	856
357	476	853
358	477	852
359	478	850
360	478	847
361	479	845
362	480	842
363	481	840
364	481	837
365	482	835
366	482	833
367	483	830
368	485	829
369	486	828
370	487	825
371	487	823
372	488	821
373	489	818
374	489	816
375	490	814
376	491	812
377	492	810
378	493	808
379	493	805
380	494	803
381	495	801
382	496	799
383	496	797
384	497	794
385	498	792
386	499	790
387	499	788
388	500	786
389	501	784
390	502	782
391	503	780
392	503	778
393	504	775
394	505	774
395	506	772
396	507	770
397	508	768
398	509	766
399	509	764
400	510	762
401	511	760
402	511	758
403	512	756
404	513	753
405	514	753
406	516	752
407	516	749
408	517	747
409	518	745
410	518	743
411	519	741
412	520	739
413	521	737
414	521	735
415	522	733
416	523	731
417	524	729
418	524	727
419	525	725
420	526	723
421	526	721
422	527	719
423	528	717
424	529	715
425	529	714
426	530	712
427	531	710
428	532	708
429	532	706
430	533	704
431	534	702
432	534	700
433	535	698
434	536	697
435	537	695
436	538	693
437	538	691
438	539	689
439	540	687
440	541	685
441	541	683
442	542	681
443	544	681
444	545	680
445	546	678
446	547	677
447	547	675
448	548	673
449	549	671
450	550	669
451	550	667
452	551	666
453	552	664
454	553	662
455	553	660
456	554	659
457	555	657
458	556	655
459	556	653
460	557	652
461	558	650
462	559	648
463	560	646
464	560	645
465	561	643
466	562	641
467	562	639
468	563	637
469	564	636
470	564	634
471	565	632
472	566	631
473	567	629
474	568	627
475	568	626
476	569	624
477	570	622
478	571	621
479	571	619
480	572	617
481	573	616
482	575	615
483	576	614
484	576	612
485	577	610
486	578	609
487	579	607
488	579	605
489	580	604
490	581	602
491	582	601
492	583	599
493	583	597
494	584	596
495	585	594
496	585	593
497	586	591
498	587	589
499	588	588
500	589	587
501	590	585
502	591	584
503	591	582
504	592	580
505	593	579
506	593	577
507	594	576
508	595	574
509	597	573
510	597	572
511	598	570
512	599	568
513	600	567
514	600	565
515	601	564
516	602	562
517	604	562
518	606	561
519	606	560
520	607	558
521	608	557
522	608	555
523	609	554
524	610	552
525	611	551
526	612	549
527	612	547
528	613	546
529	614	544
530	615	543
531	615	541
532	616	540
533	617	539
534	618	537
535	619	536
536	620	534
537	620	533
538	621	531
539	622	529
540	622	528
541	623	526
542	624	525
543	624	523
544	626	522
545	626	521
546	627	519
547	628	518
548	628	516
549	629	515
550	630	513
551	630	512
552	631	510
553	632	509
554	634	508
555	635	507
556	636	505
557	636	504
558	637	502
559	638	501
560	639	500
561	639	498
562	640	497
563	641	495
564	642	494
565	642	493
566	643	491
567	644	490
568	645	488
569	645	487
570	646	485
571	647	484
572	648	483
573	649	481
574	650	480
575	650	479
576	651	477
577	652	476
578	653	475
579	654	474
580	656	473
581	657	471
582	657	470
583	658	469
584	659	467
585	660	466
586	660	465
587	661	463
588	663	462
589	664	461
590	664	460
591	665	458
592	666	457
593	667	456
594	668	454
595	668	453
596	669	452
597	671	451
598	671	449
599	672	448
600	673	446
601	674	445
602	674	444
603	675	442
604	676	441
605	677	440
606	678	439
607	679	437
608	679	436
609	680	435
610	681	433
611	681	432
612	682	431
613	683	429
614	684	428
615	685	427
616	686	426
617	687	424
618	688	423
619	689	422
620	690	421
621	691	420
622	693	419
623	698	420
624	699	419
625	699	418
626	700	416
627	701	415
628	702	414
629	703	413
630	704	411
631	704	410
632	705	409
633	706	408
634	707	406
635	708	405
636	709	404
637	709	402
638	710	401
639	711	400
640	712	398
641	712	397
642	713	396
643	714	394
644	715	394
645	716	392
646	717	391
647	718	390
648	719	389
649	720	387
650	721	386
651	722	385
652	724	384
653	725	383
654	726	382
655	726	381
656	727	379
657	728	378
658	729	377
659	730	376
660	730	374
661	731	373
662	732	372
663	733	371
664	734	369
665	734	368
666	735	367
667	736	366
668	737	365
669	738	363
670	739	362
671	740	361
672	740	359
673	741	358
674	742	357
675	743	356
676	743	354
677	744	353
678	746	352
679	746	351
680	747	350
681	748	348
682	749	347
683	749	346
684	750	345
685	751	343
686	752	343
687	754	342
688	755	341
689	756	339
690	757	338
691	757	337
692	758	336
693	759	334
694	760	333
695	761	332
696	761	331
697	762	329
698	763	328
699	764	327
700	764	326
701	765	325
702	766	323
703	767	322
704	768	321
705	769	320
706	770	319
707	771	318
708	772	316
709	772	315
710	773	314
711	775	313
712	776	312
713	776	311
714	777	309
715	778	308
716	779	307
717	779	306
718	780	305
719	781	303
720	783	303
721	784	302
722	785	300
723	786	299
724	786	298
725	787	297
726	788	296
727	789	295
728	790	293
729	791	292
730	791	291
731	792	290
732	793	288
733	793	287
734	794	286
735	795	285
736	796	284
737	797	283
738	798	281
739	798	280
740	799	279
741	800	278
742	801	277
743	801	275
744	802	274
745	803	273
746	804	272
747	805	271
748	806	270
749	807	269
750	808	267
751	808	266
752	809	265
753	810	264
754	811	263
755	813	262
756	814	261
757	815	260
758	815	259
759	816	257
760	817	256
761	818	255
762	819	254
763	820	253
764	821	252
765	821	251
766	822	249
767	823	248
768	824	247
769	825	246
770	826	245
771	826	244
772	827	243
773	828	241
774	829	240
775	829	239
776	830	238
777	831	237
778	832	236
779	833	234
780	834	233
781	835	232
782	835	231
783	836	230
784	837	229
785	838	228
786	838	227
787	839	225
788	840	224
789	841	223
790	843	222
791	844	221
792	845	220
793	845	219
794	846	218
795	847	217
796	848	216
797	848	214
798	849	213
799	850	212
800	851	211
801	852	210
802	852	209
803	869	212
804	871	211
805	872	209
806	875	209
807	876	208
808	877	207
809	878	205
810	878	204
811	879	203
812	880	202
813	881	201
814	882	200
815	883	199
816	883	198
817	884	196
818	885	195
819	886	194
820	887	193
821	888	192
822	889	191
823	890	190
824	891	189
825	891	187
826	892	186
827	893	185
828	894	184
829	894	183
830	896	182
831	897	181
832	898	180
833	899	178
834	899	177
835	900	176
836	901	175
837	902	174
838	904	173
839	905	172
840	906	171
841	907	170
842	908	169
843	909	168
844	910	167
845	912	166
846	912	164
847	913	163
848	914	162
849	915	161
850	916	160
851	917	159
852	918	158
853	918	157
854	919	155
855	920	154
856	920	153
857	921	152
858	922	151
859	923	150
860	923	149
861	924	148
862	926	147
863	927	145
864	927	144
865	928	143
866	929	142
867	930	141
868	930	140
869	931	139
870	934	138
871	935	137
872	936	136
873	936	135
874	937	133
875	938	132
876	939	131
877	940	130
878	941	129
879	941	128
880	942	127
881	943	126
882	944	125
883	944	123
884	945	122
885	946	121
886	947	120
887	947	119
888	948	118
889	949	117
890	950	116
891	950	115
892	951	114
893	952	112
894	952	111
895	953	110
896	954	109
897	955	108
898	956	107
899	957	106
900	957	105
901	958	104
902	959	103
903	960	101
904	960	100
905	962	99
906	964	98
907	965	97
908	965	96
909	966	95
910	967	94
911	968	93
912	968	92
913	969	91
914	970	90
915	971	89
916	972	87
917	972	86
918	973	85
919	974	84
920	974	83
921	975	82
922	976	81
923	977	80
924	978	79
925	978	78
926	979	77
927	980	76
928	981	74
929	981	73
930	982	72
931	983	71
932	984	70
933	985	69
934	986	68
935	986	67
936	987	66
937	988	65
938	989	64
939	989	63
940	990	62
941	991	61
942	992	59
943	993	58
944	994	57
945	995	56
946	996	55
947	997	54
948	997	53
949	998	52
950	999	51
951	1000	50
952	1001	49
953	1002	48
954	1002	47
955	1003	46
956	1004	45
957	1005	44
958	1006	43
959	1007	41
960	1007	40
961	1008	39
962	1009	38
963	1009	37
964	1010	36
965	1011	35
966	1012	34
967	1013	33
968	1014	32
969	1015	31
970	1016	30
971	1016	29
972	1017	28
973	1018	27
974	1019	26
975	1020	25
976	1020	24
977	1021	22
978	1023	21
979	1024	20
980	1025	19
981	1025	18
982	1026	17
983	1027	16
984	1028	15
985	1029	14
986	1030	13
987	1031	12
988	1031	11
989	1032	10
990	1033	9
991	1033	8
992	1034	7
993	1035	6
994	1036	5
995	1036	4
996	1037	3
997	1038	2
998	1039	1
999	1039	0
